timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum,RA+RS,RA+Are
186,0.20782406,0.489255836,0.090332254,0.210784614,-7.56E-05,0.001828635,3.51E-05,1.51E-05,1,0.001753061,-4.04501E-05
187,0.207949124,0.488193601,0.090628435,0.211475914,2.95E-04,0.001407338,3.52E-05,1.51E-05,1,0.001702585,0.000330485
188,0.207309663,0.487812995,0.090923268,0.212163657,-1.20E-05,0.00175192,3.54E-05,1.52E-05,1,0.001739914,2.33481E-05
189,0.207291677,0.486886869,0.091216529,0.212848066,2.30E-04,0.001476594,3.55E-05,1.52E-05,1,0.001706193,0.000265065
190,0.206585221,0.486574987,0.091508443,0.213528963,-1.40E-04,0.00189109,3.56E-05,1.52E-05,1,0.001751558,-0.00010395
191,0.205632018,0.486486237,0.091798944,0.214206431,-7.28E-04,0.002553746,3.57E-05,1.53E-05,1,0.00182538,-0.000692668
192,0.20623336,0.485025786,0.092087742,0.214880753,5.77E-05,0.001663554,3.58E-05,1.53E-05,1,0.001721208,9.34607E-05
193,0.205833745,0.484456176,0.092375266,0.215551568,-4.37E-05,0.001775598,3.59E-05,1.54E-05,1,0.001731935,-7.74457E-06
194,0.205733825,0.483625825,0.092661308,0.216219086,1.19E-04,0.001589427,3.60E-05,1.54E-05,1,0.001708487,0.000155089
195,0.205369682,0.483033986,0.092945969,0.216883239,4.66E-05,0.001668861,3.61E-05,1.55E-05,1,0.001715496,8.2775E-05
196,0.205136147,0.482331066,0.093229191,0.217544102,8.86E-05,0.001619127,3.62E-05,1.55E-05,1,0.001707709,0.000124832
197,0.205100732,0.481457268,0.093510969,0.218201702,3.05E-04,0.001372715,3.64E-05,1.56E-05,1,0.001677387,0.00034103
198,0.204420796,0.481158619,0.09379145,0.218855931,-5.10E-05,0.001772125,3.65E-05,1.56E-05,1,0.001721107,-1.45494E-05
199,0.204546546,0.480151126,0.094070401,0.219507019,3.05E-04,0.001367376,3.66E-05,1.57E-05,1,0.001672655,0.000341855
200,0.203889508,0.479841155,0.094348092,0.220154748,-3.26E-05,0.001746679,3.67E-05,1.57E-05,1,0.00171409,4.09711E-06
201,0.203865969,0.478974745,0.094624295,0.220799343,1.89E-04,0.001493967,3.68E-05,1.58E-05,1,0.001683087,0.000225912
202,0.203379503,0.478522617,0.094899199,0.221440659,-1.76E-07,0.001705485,3.69E-05,1.58E-05,1,0.001705309,3.67243E-05
